location_id,countryID,longitude,latitude,locationName,isMobile,isMonitor,provider,sensorID,instruments,sensorParameterID,firstUpdated,lastUpdated
6868,ZA,32.03902,-28.7313,Brackenham - RBCAA,False,True,South Africa,"19767, 1662909, 19762",Government Monitor,"1, 2, 9",2017-08-10T23:00:00Z,2024-03-12T10:00:00Z
6869,ZA,32.04924,-28.75622,CBD,False,True,Richards Bay,"19770, 19763",Government Monitor,"1, 9",2017-08-10T23:00:00Z,2019-04-03T21:45:00Z
6874,ZA,32.06265,-28.75243,Arboretum,False,True,Richards Bay,19772,Government Monitor,9,2017-08-10T23:00:00Z,2019-04-03T21:45:00Z
225393,ZA,27.85183,-25.6257,Damonsville,False,True,South Africa,"5079588, 1303604, 5079589, 5079586, 5079587, 1303603",Government Monitor,"35, 7, 19840, 1, 2, 9",2021-04-29T17:00:00Z,2024-02-29T22:00:00Z
225394,ZA,29.46282,-25.79606,Middelburg SAWS-NAQI,False,True,South Africa,"1303487, 4275729, 1303416, 4276218, 1303646, 1303439, 1303449, 1303421",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-04-29T18:00:00Z,2024-03-12T11:00:00Z
225395,ZA,26.93934,-26.56976,Welgegund-NAQI,False,True,South Africa,"1303470, 1303448, 1303498",Government Monitor,"1, 2, 9",2021-04-29T17:00:00Z,2024-03-12T10:00:00Z
225396,ZA,25.68343,-33.76378,Saltworks-NAQI,False,True,South Africa,"4277257, 1303627, 4277251, 1303425, 1303662, 1303430",Government Monitor,"35, 7, 19840, 1, 2, 9",2021-04-29T17:00:00Z,2024-03-12T10:00:00Z
225397,ZA,29.43861,-25.77311,Middelburg MP,False,True,South Africa,"1303553, 4650608, 2014508, 4650609, 1303609, 1303613, 1303665, 1303577",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-04-29T17:00:00Z,2024-03-12T10:00:00Z
225398,ZA,27.3916,-24.59106,Thabazimbi,False,True,South Africa,"1303441, 4275671, 1303391, 4275870, 1303467, 1303573, 1303659, 1303593",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-04-29T18:00:00Z,2024-03-12T11:00:00Z
225399,ZA,28.9842,-24.15595,Mokopane,False,True,South Africa,"1303630, 4277246, 1303667, 4277284, 1303460, 1303510, 1303569, 6189234, 1303547",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 6, 9",2021-04-29T18:00:00Z,2024-03-12T11:00:00Z
225400,ZA,27.84102,-26.58733,Sebokeng,False,True,South Africa,"1303600, 5079590, 1347908, 5079591, 1303476, 1303505, 1303620, 1303587",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-04-29T18:00:00Z,2024-03-12T11:00:00Z
225401,ZA,28.13314,-26.17867,Bedfordview-NAQI,False,True,South Africa,"1303471, 1303566, 1303579, 1303518",Government Monitor,"8, 1, 2, 9",2021-04-29T18:00:00Z,2023-03-27T16:00:00Z
225402,ZA,18.48052,-33.56233,Atlantis,False,True,South Africa,"1303515, 1303611",Government Monitor,"10, 9",2021-04-29T13:00:00Z,2024-03-12T10:00:00Z
225403,ZA,30.98862,-29.93409,Wentworth Reservior-NAQI,False,True,South Africa,"1303398, 1303490, 1303484",Government Monitor,"1, 2, 9",2021-04-29T16:00:00Z,2023-12-20T14:00:00Z
225404,ZA,18.51433,-33.81967,Table View-NAQI,False,True,South Africa,"4275961, 1303374, 4275679, 5080149, 1303482, 1303509, 1303376",Government Monitor,"35, 7, 19840, 10, 1, 2, 9",2021-04-29T13:00:00Z,2023-12-05T10:00:00Z
225405,ZA,27.83733,-26.77761,Bongani Mabaso Eco Park,False,True,South Africa,"4276135, 1303464, 4275931, 1303641, 1303541, 1303524, 1303631",Government Monitor,"35, 7, 19840, 10, 1, 2, 9",2021-04-29T17:00:00Z,2024-03-12T10:00:00Z
225406,ZA,28.69702,-26.14032,Delmas MP,False,True,South Africa,"1303648, 1562404, 1310138, 1303415, 1303598",Government Monitor,"8, 7, 10, 1, 9",2021-04-29T17:00:00Z,2024-03-11T12:00:00Z
225407,ZA,31.12006,-29.55742,Hambanathi Tongaat,False,True,South Africa,"1303389, 1303404, 1303382",Government Monitor,"1, 2, 9",2021-04-29T17:00:00Z,2024-03-12T10:00:00Z
225408,ZA,27.72201,-23.68207,Lephalale-NAQI,False,True,South Africa,"1303559, 4403635, 1303549, 4403636, 1303616, 1303477, 1303418, 1303606",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-04-29T18:00:00Z,2024-03-12T11:00:00Z
